"Grantor","Grantee","Zip Code","Fiscal Year","Amount","Description","Category","Fiscal Period","Date"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PPRIG PROTECTING AGAINST HATE CRIME","SCHOOL OF THE INCARNATION INC.","21054","2022","142,540","THE SCHOOL OF THE INCARNATION “SOTI ACCESS CONTROL AND SECURITY CAMERA PROJECT” PROGRAM AIMS TO HELP THE SCHOOL STAFF IDENTIFY AND DIFFUSE THREATS AND TARGET HARDEN THE SCHOOL’S FACILITIES. ADDING ENCRYPTED ACCESS CONTROL AND CAMERAS WILL ALLOW US TO SECURE THE BUILDING MORE QUICKLY AND EFFICIENTLY. THESE IMPROVEMENTS WILL ALLOW THE SCHOOL TO MAKE NECESSARY IMPROVEMENTS CRITICAL TO DETERRING HATE CRIME ACTIVITY TARGETED AT PERSONS OF COLOR, THE LGBTQ COMMUNITY AND RELIGIOUS ORGANIZATIONS. PROGRAM FUNDS WILL PROVIDE THE NECESSARY EQUIPMENT TO ACCOMPLISH THIS GOAL.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PPRIG PROTECTING AGAINST HATE CRIME","TEMPLE BETH SHALOM OF ANNE ARUNDEL COUNTY","21012","2022","70,840","FY 2022 PROTECTING AGAINST HATE CRIMES (PAHC) GRANT FOR SECURITY PERSONNEL WILL ADDRESS SECURITY MEASURES FOR TEMPLE MEMBERS, GUESTS AND OUR PRESCHOOL CHILDREN. THE PROGRAM WILL ENABLE TEMPLE BETH SHALOM TO CONTINUE AND EXPAND ITS EXISTING SAFETY AND SECURITY MEASURES AND ENABLE BETTER PREPARATION AND DETERRENCE AGAINST A HATE CRIME. PROGRAM WILL HELP FUND SECURITY PERSONNEL FOR OUR HOUSE OF WORSHIP. WITH THIS PROGRAM, WE ARE REQUESTING FUNDS TO COVER ADDITIONAL UNIFORMED, ON-SITE SECURITY DURING RELIGIOUS SCHOOL, WORSHIP SERVICES, TEMPLE AND COMMUNITY EVENTS, AND A PORTION OF PRESCHOOL HOURS. PROGRAM FUNDS WILL PROVIDE CONTRACTUAL SERVICES.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PPRIG PROTECTING AGAINST HATE CRIME","YESHIVA OF GREATER WASHINGTON, INC.","20910","2022","150,000","THE YESHIVA OF GREATER WASHINGTON SECURITY HARDWARE INSTALLATION PROGRAM ENABLES LOCKDOWN SAFETY CAPABILITY FOR HIGH OCCUPANCY ROOMS AT THE GIRLS DIVISION CAMPUS, FACILITATES A ROBUST EMERGENCY NOTIFICATION SYSTEM AND NEW SECURITY WINDOWS INSTALLATION AT THE BOYS DIVISION CAMPUS, AND EXPANDS VIDEO SURVEILLANCE CAPABILITY AND EXTENDS SECURITY PERSONNEL PRESENCE AT BOTH CAMPUSES. THE PROGRAM WILL RESULT IN THE IMPLEMENTATION OF NEW SECURITY HARDWARE AND EQUIPMENT INSIDE THE BUILDINGS THAT WILL PROVIDE A SAFER ENVIRONMENT FOR STUDENTS AND FACULTY, AND WILL ENABLE MULTIPLE DAILY SECURITY SHIFTS BY OFF-DUTY POLICE ON CAMPUS. PROGRAM FUNDS PROVIDE EQUIPMENT AND CONTRACTUAL SERVICES.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PPRIG PROTECTING AGAINST HATE CRIME","BENDER JCC OF GREATER WASHINGTON","20852","2022","114,276","THE BENDER JCC OF GREATER WASHINGTON'S SECURITY BOOTH WILL SECURE THE EXTERIOR GROUNDS OF THE FACILITY WITH THE APPROPRIATE SHELTER AND EQUIPMENT FOR SECURITY PERSONNEL TO DO THEIR JOBS EFFECTIVELY AND SAFELY AT ALL TIMES. THE SECURITY BOOTH WILL PROVIDE INCREASED SECURITY STAFF, SHELTER, EQUIPMENT AND TECHNOLOGY, AND THE GROUNDS CAN BE PATROLLED AT A RATE OF RECOMMENDED FREQUENCY, INCLUDING AT TIMES OF HIGH VISITATION. THE PROGRAM WILL ALSO ALLOW THE GROUNDS TO BE PATROLLED AND GUESTS WILL BE ABLE TO BE MONITORED. DUE TO SUPPLY CHAIN ISSUES, CONTRACTOR DELAYS, AND A HOST OF OTHER COVID RELATED COMPLICATIONS THE PROJECT WAS NOT ABLE TO BE COMPLETED IN FY22 AND WILL EXTEND INTO FY23. PROGRAM FUNDS PROVIDE OPERATING AND CONTRACTUAL SERVICES.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PPRIG PROTECTING AGAINST HATE CRIME","MESIVTA KESSER TORAH OF BALTIMORE","21208","2022","150,000","THE MESIVTA KESSER TORAH OF BALTIMORE “CAMPUS SECURITY ENHANCEMENT, HATE CRIMES PREVENTION” PROGRAM HELPS TO INCREASE SECURITY MEASURES. THE PROGRAM PROVIDES CRITICAL ONE-TIME SECURITY ENHANCEMENTS INCLUDING GATES, FENCING, AND INFRASTRUCTURE FOR LIGHTING TO THE 40-ACRE, 70-YEAR-OLD, CAMPUS WHICH HAS MINIMAL SECURITY FEATURES. THE PROGRAM BENEFITS THE SCHOOL’S STUDENTS, STAFF, PARENT BODY, DAILY VISITORS, AS WELL AS SURROUNDING LOCAL BALTIMORE COUNTY AND BALTIMORE CITY COMMUNITIES. PROGRAM FUNDS WILL PROVIDE INSTALLATION OF CRITICAL EQUIPMENT AND CONTRACTUAL SERVICES.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PPRIG PROTECTING AGAINST HATE CRIME","BAIS YAAKOV SCHOOL FOR GIRLS, INC.","21209","2022","100,000","THE BAIS YAAKOV SCHOOL FOR GIRLS SECURITY FENCING PROJECT WILL INCREASE SAFETY AND SECURITY ON THE SCHOOL'S CAMPUSES LOCATED IN BALTIMORE COUNTY MARYLAND. THE PROJECT WILL HARDEN THE SCHOOL AS A POTENTIAL TERRORIST TARGET THROUGH THE INSTALLATION OF SECURE FENCING ON ITS CAMPUSES AT 6300-6302 SMITH AVENUE AND/OR AT 11111 PARK HEIGHTS AVENUE. THE PROJECT WILL INSTALL PEDESTRIAN AND/OR VEHICULAR FENCING TO PROTECT THE SCHOOL'S STUDENTS, STAFF AND VISITORS. PROGRAM FUNDS WILL PAY FOR CONTRACTOR TO INSTALL FENCING.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PPRIG PROTECTING AGAINST HATE CRIME","ST. PHILIP NERI SCHOOL INC.","21090","2022","148,000","ST. PHILIP NERI SCHOOL SCHOOL SAFETY AND SECURITY PROJECT PROGRAM HELPS TO REPLACE AND INSTALL EXTERIOR PERIMETER DOORS AS WELL AS CRITICAL STAIRWELL DOORS THAT LEAD TO STUDENT LEARNING AREAS OF THE BUILDING. THE PROGRAM WILL PROVIDE A SAFE LEARNING ENVIRONMENT FOR STUDENTS WITHIN A SECURE LOCATION AND WILL PREVENT UNAUTHORIZED PERSONS FROM ENTERING THE SCHOOL CAMPUS, ESPECIALLY WHILE THE CHILDREN ARE PRESENT. PROGRAM FUNDS WILL PROVIDE EQUIPMENT.","Grant","1","2022 Jun 30 12:00:00 AM"
"JUDICIARY/MEDIATION AND CONFLICT RESOLUTION OFFICE (MACRO)","CONFLICT RESOLUTION CENTER OF BALTIMORE CO.","21221","2024","297,255","FUNDING TO PROVIDE COMMUNITY MEDIATION AND COMMUNITY CONFERENCING SERVICES FOR YOUTH AND COMMUNITIES IN BALTIMORE COUNTY.","Grant","1","2024 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PPIGF PERFORMANCE INCENTIVE GRANT PROGRAM","HOUSE OF RUTH MARYLAND, INC.","21218","2022","100,577","THE HOUSE OF RUTH MARYLAND, INC.'S JRA PROGRAM PROVIDES COMPREHENSIVE ABUSE INTERVENTION SERVICES, INCLUDING DEVELOPING AND IMPLEMENTING STRATEGIES SPECIFICALLY INTENDED TO REDUCE SPENDING ON INCARCERATION AND INCREASE PUBLIC SAFETY, INCLUDING PROVIDING SERVICES TO UNDERSERVED COMMUNITIES. GRANT FUNDS PROVIDE FOR NECESSARY EQUIPMENT, TRAINING AND PERSONNEL.","Grant","1","2022 Jun 30 12:00:00 AM"
"GOVERNOR'S OFFICE OF CRIME PREVENTION, YOUTH, AND VICTIM SERVICES/PPIGF PERFORMANCE INCENTIVE GRANT PROGRAM","INNER COUNTY OUTREACH","21001","2022","60,769","INNER COUNTY OUTREACH'S SECOND CHANCE PROGRAMMING HELPS REDUCE THE TRAUMA ASSOCIATED WITH PARENTAL INCARCERATION ON THE CHILD, FAMILY, AND INCARCERATED INDIVIDUALS. THE SECOND CHANCE PROGRAM PROVIDES DIRECT SERVICES TO VULNERABLE FAMILIES IN THEIR EFFORTS TO REDUCE INTERGENERATIONAL RECIDIVISM AND PROMOTE FAMILY REUNIFICATION AND STABILITY. ICO'S SECOND CHANCE SERVICES WILL BE OFFERED IN HARFORD AND CECIL COUNTIES OF MARYLAND. PROGRAM FUNDS PROVIDE PERSONNEL, TRAINING, PROGRAM SUPPLIES, OPERATING EXPENSES AND TRAVEL.","Grant","1","2022 Jun 30 12:00:00 AM"
