"Grantor","Grantee","Zip Code","Fiscal Year","Amount","Description","Category","Fiscal Period","Date"
"Department of Business & Economic Development/Maryland State Arts Council","Allegany Arts Council","21502","2010","90,297","Grant funding for Community Arts Development and Arts Organizations","Grant","1","2010 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Maryland Health Care Commission","Associated Black Charities","21201","2016","26,000","A telehealth grant to demonstrate the impact of using telehealth technology to improve the overall health of the population being served and the patient experience.","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Rental Allowance Program  - General Funds","Housing Commission Of Anne Arundel County","21060","2011","28,600","short term rental assistance payments","Grant","1","2011 Jun 30 12:00:00 AM"
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Heartly House, Inc.","21705","2016","19,976","Sexual Assault Services Program","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland Department of Education/Food Services Program","YMCA OF GREATER BALTO","21204","2012","30,169.68","CASH FOR COMMOD - CHILD CARE","Grant","1","2012 Jun 30 12:00:00 AM"
"Boards and Commissions/Governor's Office of Crime Control and Prevention","Prince George's General Hospital (Dimensions Healthcare System)","20785","2011","42,822.81","Rape Crisis Assistance","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Maryland Community Health Resources Commission","Forward Visions, Inc.","21093","2013","50,000","DDA Infrastructure Services","Grant","1","2013 Jun 30 12:00:00 AM"
"Maryland Higher Education Commission/Aid to Non Public Institutions","Hood College","21701-8575","2013","1,432,016","Sellinger Formula Aid","Grant","1","2013 Jun 30 12:00:00 AM"
"Maryland Technology Development Corporation/Maryland Technology Transfer & Commercialization Fund","Magpie Sensing, LLC.","21218","2013","74,990","Commercialization Investment","Loan","1","2013 Jun 30 12:00:00 AM"
"Maryland Energy Administration/MEEHA - Multifamily","Baywood-Rockhall","21661-0000","2012","262,500","Building Retrofits","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland Higher Education Commission/Aid to Non Public Institutions","Johns Hopkins University","21218","2016","19,311,754","Sellinger Formula Aid","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland State Department of Education - Blind Industries and Services of MD","Blind Industries & Services of Maryland","21227","2015","531,115","BLIND INDUSTRIES & SERV MD-STATE AIDED","Grant","1","2015 Jun 30 12:00:00 AM"
"Combined Heat and Power (CHP) Resilience Grant Program","Greater Baltimore Medical Center, Inc.","21204","2018","500,000","Grants to encourage implementation of Combined Heat & Power technologies in eligible industrial facilities","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Agriculture/CONSERVATION GRANTS","LEAGER FARMS","21668-1224","2012","95,936","COVER CROP","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland Energy Administration - LMI Community Grants","Housing Authority of Cumberland (Allegany) FY15","21502 - 4334","2015","100,000","Energy Efficiency Grants for efficiency upgrades in the Low and Moderate Income sector.","Grant","1","2015 Jun 30 12:00:00 AM"
"Chesapeake & Atlantic Coastal Bays Trust Fund","South River Federation Inc.","21037","2018","1,760,677.58","Funds implementation of non-point source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.","Grant","1","2018 Jun 30 12:00:00 AM"
"Maryland State Department of Education - State Aided Educational Institutions","Alice Ferguson Foundation INC","20607","2015","79,378","ALICE FERGUSON CENTER-STATE AIDED","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund","Maryland Therapeutic Riding Inc.","21032","2016","64,103.17","Payments made for the implementation of nonpoint source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.","Grant","1","2016 Jun 30 12:00:00 AM"
"Boards and Commissions - Governor's Office of Crime Control and Prevention","Prince George's General Hospital (Dimensions Healthcare System)","20785","2015","18,000","Sexual Assault Services Program","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Business and Economic Development/Maryland Tourism Development Board","PRINCE GEORGES COUNTY CVB","20774","2011","133,367","Cooperative Marketing Grant Program","Grant","1","2011 Jun 30 12:00:00 AM"
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Family & Children's Services of Central MD","21209","2016","28,106.8","Maryland Victims of Crime","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Operating Assistance Grants (OAG) Counseling","Asian American Homeowners","20852","2013","85,020","Operating Assistance Grants (OAG) Counseling","Grant","1","2013 Jun 30 12:00:00 AM"
"Maryland Department of Health/Maryland Community Health Resources Commission","Pressley Ridge","21502","2017","350,000","Expand access to health care in underserved communities","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland Department of Education/CHILDREN AT RISK","COMMUNITY TUTORING INC","20772","2013","249,308","21ST CENTURY COMMUNITY LEARNING CENTERS","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Transportation/WMATA Capital","WASHINGTON SUBURBAN-TRANSIT C","20785","2010","43,920,049","Capital Grants Projects","Grant","1","2010 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Community Legacy","Central Baltimore Partner","21218","2017","75,000","Community Legacy","Grant","1","2017 Jun 30 12:00:00 AM"
"Boards and Commissions - Governor's Office of Crime Control and Prevention","Court Appointed Special Advocate (CASA) Program of Baltimore, Inc.","21202","2015","34,710","Children's Justice Act Committee","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Transportation/Facilities & Capital Equipment","METRO WASH COUNCIL OF GOV","20002-4290","2012","2,437,740","MPO requirements","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland Environmental Services/Restoration of Masonville Cove, Community Outreach","Waterfront Partnership of Baltimore, Inc.","21202","2014","431,000","Construction of Debris Catching Water Wheel at Jones Falls and Inner Harbor","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Human Resources/Office of Grants Management","Bugg Hardnett & Associates LLC","21218","2010","306,033","Funds are used to provide employment placement and training for Strong Fathers/Strong Families program","Grant","1","2010 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Prevention and Disease Control","Total Health Care Inc.","21217","2012","92,127","Cancer - Patient Reminder","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland Energy Administration/Commercial Renewable Grants","Altus Power Funds, LLC Series II","06870-0000","2013","50,000","Solar","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Natural Resources/RURAL LEGACY","Cecil Land Trust (lead) & Cecil County","21921","2010","219,787.55","R P Peterson Farm Easement","Grant","1","2010 Jun 30 12:00:00 AM"
"Maryland Department of Education/Food Services Program","RAINBOW ADULT DAY HEALTH CARE OF MONTG COUNTY LLC","20877-4131","2012","331,530.22","FOOD SERVICE - CHILD CARE","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Prevention and Disease Control","MedStar Health - Harbor Hospital","21225","2011","198,269","Mad Cancer Fund-Secondary Prev & Treatment","Grant","1","2011 Jun 30 12:00:00 AM"
"State Department of Education/Children at Risk","IN REACH INC","20706","2016","350,548","21st Century Community Learning Centers","Grant","1","2016 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","YWCA of Annapolis and Anne Arundel County","21012","2018","21,882","Sexual Assault Services Program","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Agriculture/CONSERVATION GRANTS","GUNPOWDER GAME FARM","21155","2016","50,506.14","OTHER GRANTS, SUBS & CONTRIBUTION","Grant","1","2016 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","Court Appointed Special Advocate (CASA) Citizens Assisting and Sheltering the Abused, Inc.","21740","2018","55,886","Service*Training*Officers*Prosecutors (STOP) Violence Against Women Formula Grant Program","Grant","1","2018 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/Maryland Tourism Board","CALVERT COUNTY CHAMBER OF COMMERCE","20678-0009","2014","55,500","Maryland Tourism Board-General Grant","Grant","1","2014 Jun 30 12:00:00 AM"
"DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL","GERMANTOWN CULTURAL ARTS CENTER","20874","2020","97,999","MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT)","Grant","1","2020 Jun 30 12:00:00 AM"
"Department of Labor, Licensing and Regulation/Reemploymental Eligibility Assessment (REA)","Maryland Workforce Corporation","21108","2012","898,851","Reemployment and Eligibility Assessment (REA) Initiative has the goal of  enhancing the rapid reemployment of unemployed workers, eliminating potential overpayments, and realizing cost savings for the Unemployment Insurance (UI) trust fund. On March 10, 2005, U.S. Secretary of Labor Elaine L. Chao announced the award of 21 grantsREA  Re-Employment Eligibility Assessment.  This is pays the Personnel Salaries and Fringe for the REA staff.","Grant","1","2012 Jun 30 12:00:00 AM"
"Boards and Commissions/Juvenile Accountability Block Grants Program","Conflict Resolution Center of Baltimore County, Inc.","21221","2013","82,123.35","Community Conferencing","Grant","1","2013 Jun 30 12:00:00 AM"
"Maryland Energy Administration/CEEDI","CPV Piney Reach","20910-3473","2010","100,000","$100,000 for 10-MW solar project permitting","Grant","1","2010 Jun 30 12:00:00 AM"
"Department of Human Resources/Office of Grants Management","Worchester County Youth and Family Services","21811","2012","68,620","Funds are used to provides services to victims of crime.","Grant","1","2012 Jun 30 12:00:00 AM"
"Department of Human Resources - Family Investment Administration & Office of Grants Management","Meals on Wheels of Central Maryland","21224","2015","218,242.07","Funds are used to provide Food Supplement Outreach Programs that provides monthly benefits to eligible low-income individuals and families to help them purchase food, provide nutritional education, pre-screening, application assistance and follow-up.","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Commerce/MD Economic Development Assistance Authority & Fund","LEHIGH CEMENT COMPANY","21791","2016","150,000","MD Economic Development Assistance Authority & Fund","Loan","1","2016 Jun 30 12:00:00 AM"
"Department of Housing & Community Development/MultiFamily Energy Efficiency and Housing Affordability Program","North Creek Run, LLC","14604","2010","132,500","energy efficiency activities/products","Grant","1","2010 Jun 30 12:00:00 AM"
"FORECLOSURE MEDIATION","COMPREHENSIVE HOUSING ASST INC","21215","2018","76,000","FORECLOSURE MEDIATION","Grant","1","2018 Jun 30 12:00:00 AM"
"Maryland Higher Education Commission/Joseph A. Sellinger Program of Aid to Nonpublic Institutions of HS","Columbia Union College (Washington Adventist University)","20912","2009","975,764","Sellinger Formula Funding, Md. Ann Code, Ed. Art. 17-104","Grant","1","2009 Jun 30 12:00:00 AM"
"Department of Business and Economic Development/MD Economic Development Assistance Fund","CANTON CROSSING LLC","21224","2011","2,282,766.56","MEDAAF Grant","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Health & Mental Hygiene/Prevention and Disease Control","Baltimore City Health Department","21202","2010","532,032","H1N1, Cancer, Minority Infant/Toddler Mortality","Grant","1","2010 Jun 30 12:00:00 AM"
"Commerce/Office of Strategic Industries and Entrepreneurship","MARYLAND MEP","21045","2017","242,500","Funds To Establish And Operate A New Md Manufacturing Extension","Grant","1","2017 Jun 30 12:00:00 AM"
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Court Appointed Special Advocate (CASA) - Prince George's County, Inc.","20737","2016","34,496.29","Maryland Victims of Crime","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Agriculture/Resource Conservation Grants","JOHN H KRASTEL","216781858","2017","80,780","Conservation Reserve Program","Grant","1","2017 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention","Heartly House, Inc.","21705","2017","13,245","Legal Services for Crime Victims","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Commerce/Office of Cyber Development and Aerospace - T00F0006","TECHNOLOGY COUNCIL OF MD INC","20850","2016","100,000","Cyber Development Grant","Grant","1","2016 Jun 30 12:00:00 AM"
"Senior Center Operating / State Funds","Talbot County","21601","2018","5,000","Senior Center Operating / State Funds","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Business and Economic Development/MD Economic Development Assistance Fund","LIFE TECHNOLOGIES CORP","92008","2011","500,000","MEDAAF Grant","Loan","1","2011 Jun 30 12:00:00 AM"
"DEPARTMENT OF TRANSPORTATION/RAIL FACILITIES AND CAPIT","TRI COUNTY COUNCIL LES","21804","2024","787,861.85","VARIOUS","Grant","1","2024 Jun 30 12:00:00 AM"
"Maryland Department of Education/Food Services Program","RISING GENERATIONS EARLY LEARNING CTR","20743","2012","55,271.22","FOOD SERVICE - CHILD CARE","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland Department of Disabilities/Department of Disabilities","National Federation of the Blind","21230","2017","250,000","Grant to Support the Center of Excellence in Non-Visual Access to Education, Public Information and Commerce.","Grant","1","2017 Jun 30 12:00:00 AM"
"Department of Agriculture/MARYLAND AGRICULTURAL FAIR BOARD","GREAT FREDERICK FAIR","21705-0604","2012","69,250","FAIR GRANTS","Grant","1","2012 Jun 30 12:00:00 AM"
"Senior Care","Human  Resources  Development Commission of Allegany County","21502","2018","129,708","Senior Care","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Natural Resources/Rural Legacy Program","Land Preservation Trust","21031","2016","43,237","Oursler, George C & Edith V Farm Easement","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Housing and Community Development - NBD Capital","Wide Angle Youth Media","21218","2015","88,200","Capital Loan","Loan","1","2015 Jun 30 12:00:00 AM"
"Maryland Department of Aging/Hold Harmless","Upper Shore Aging, Inc.","21620","2017","17,135","Hold Harmless","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland State Department of Education - Students with Disabilities","National Center on Institution and Alternatives","21244","2015","82,162","STUDENTS W/DISAB.-NONPUBLIC PLACEMENTS","Grant","1","2015 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","Court Appointed Special Advocate (CASA) - Prince George's County, Inc.","20737","2018","6,440","Children's Justice Act Committee","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Business & Economic Development/Maryland State Arts Council","Carroll County Arts Council","21157","2010","86,608","Grant funding for Community Arts Development","Grant","1","2010 Jun 30 12:00:00 AM"
"Department of Agriculture/Resource Conservation Grants","GEISINGER FARMS LLC","21769","2017","55,445.5","Cover Crop","Grant","1","2017 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/Maryland Tourism Board","ANACOSTIA TRAILS HERITAGE AREA, INC.","20781","2013","70,000","Maryland Tourism Board-General Grant","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Agriculture/Maryland Agricultural Cost Share (Capital - Bonds)","NAGEL, GEORGE","21632","2009","34,125","Install Best Mgmt Practice (BMP) on Farm","Grant","1","2009 Jun 30 12:00:00 AM"
"State Department of Education/School Quality Accountability","Education Alliance Brown University","02903-4226","2009","178,499","Reconstitution-Other","Grant","1","2009 Jun 30 12:00:00 AM"
"Department of Agriculture/Cover crop","EDWIN G KING","21875","2013","50,605.5","Cover Crop Grant","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Planning/MDP - Maryland Heritage Areas Authority","Garrett County Chamber of Commerce, Inc.","21541","2014","110,376","FY 2012, 2013 & FY 2014 Operating assistance grants are to support staff salaries, operation costs and general overhead expenses to implement the approved heritage area management plan. FY 2013 Marketing grant is for the creation of a Heritage Area Strategic initiative to coincide with the newly adopted Garrett County Heritage Area 2012-2014 Marketing Plan.","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Agriculture/Maryland Agricultural Cost Share (Capital - Bonds)","AU, TRUONG-THANH","21853","2009","35,000","Install Best Mgmt Practice (BMP) on Farm","Grant","1","2009 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","University of Maryland Prince George's Hospital Center (Dimensions Health Corporation)","20785","2018","368,503.31","Victims of Crime Act (VOCA) Victim Assistance Formula Grant Program","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Agriculture/Resource Conservation Grants","BAKER FAMILY CORPORATION","20842","2017","53,715","Cover Crop","Grant","1","2017 Jun 30 12:00:00 AM"
"MD ECONOMIC DEVELOP ASSISTANCE FUND-CAP","Evapco Inc.","21787","2018","625,000","MD Economic Development Assistance Authority & Fund Loan","Loan","1","2018 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/Maryland State Arts Council","AVALON FOUNDATION INC","21601","2014","80,883","MD State Arts Council Grants for Organizations (Operating support)","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Natural Resources/Chesapeake Bay Implementation Grant","Chesapeake Bay Trust","21401","2016","1,208,206.09","Payments made to provide local assistance for watershed restoration and green street best management practice implementation.","Grant","1","2016 Jun 30 12:00:00 AM"
"Judiciary/Mediation and Conflict Resolution Office","Washington County Community Mediation Center","21740","2016","105,000","Community Mediation Performance Funding at Level 5 for the purpose of operating the center according to the 10-point model of community mediation.  Support to pilot an Advisory Classroom program with Bester Elementary School in Hagerstown, in which the center will work with teachers to provide conflict management, anger management and life skills to the Bester students.","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland Department of Education/Children at Risk","BLACK MENTAL HEALTH ALLIANCE","21211","2012","651,047","21ST CENTURY COMMUNITY LEARNING CENTERS","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland State Department of Education - Aid to Non-Public Schools","Follett School Solutions Inc","60080 - 7048","2015","215,073.23","CIGARETTE REST. FUNDS -NONPUBLIC TEXTBOOKS","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Commerce/MD Small Business Development Financing Authority","CONSOLIDATED SERVICES INC","21207","2016","109,045.43","MSBDFA Contract Finance - Line of Credit","Loan","1","2016 Jun 30 12:00:00 AM"
"Department of Commerce/MD Economic Development Assistance Authority & Fund","FR CONVERSIONS, INC.","21157","2016","1,000,000","MD Economic Development Assistance Authority & Fund","Loan","1","2016 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/MD Small Business Development Financing Authority (MSBDFA)","WARREN BROTHERS CONSTRUCTION LLC","20772","2013","100,000","MSBDFA Contract Finance - Line of Credit","L","1","2013 Jun 30 12:00:00 AM"
"Maryland Energy Administration/EE L&M Income Community Grants","Coalition to End Childhood Lead Poisoning","21224-4716","2010","190,865","Deliver energy audits and interventions to one hundred (100) low-to-moderate income households at the same time the homes are receiving HUD sponsored environmental interventions through the Coalitions Safe at Home Healthy Homes Program and LEAP.","Grant","1","2010 Jun 30 12:00:00 AM"
"Department of Housing & Community Development/Rental Housing Production Program","Homewood Limited Partnership c/o Telesis Baltimore Corp","20007","2010","498,682","funds to assist in acquisition/construct/rehab of 72 rental units","Loan","1","2010 Jun 30 12:00:00 AM"
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Community Advocates for Family & Youth","20791","2016","32,884.88","Children's Justice Act Committee","Grant","1","2016 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/MD Economic Development Assistance Authority & Fund-MEDAAF","RETAIL SERVICES & SYSTEMS INC","20854","2014","430,192.34","MD Economic Development Assistance Authority & Fund","Loan","1","2014 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Operating Assistance Grant","Eastern Shore Land Conservancy Inc","21061","2017","50,000","Operating Assistance Grant","Grant","1","2017 Jun 30 12:00:00 AM"
"Military Department/Maryland Emergency Management Agency (MEMA)","KENNEDY KRIEGER INSTITUTE","21205","2017","73,015.7","FEMA DR4261 Public Assistance","Grant","1","2017 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","Family Crisis Center of Baltimore County, Inc.","21222","2018","28,687.02","Service*Training*Officers*Prosecutors (STOP) Violence Against Women Formula Grant Program","Grant","1","2018 Jun 30 12:00:00 AM"
"Maryland Energy Administration - Offshore Wind Business Development","Arcon","21801","2015","338,600","Contract for the development of Offshore Wind","Grant","1","2015 Jun 30 12:00:00 AM"
"State Department of Education/Children's Cabinet Interagency Fund","CHOICES INC","46205","2016","1,600,000","Wraparound Maryland","Grant","1","2016 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/Maryland State Arts Council","LYRIC FOUNDATION INC","21201-5732","2014","112,500","MD State Arts Council Grants for Organizations (Operating support)","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Family Health Services & Primary Care","Coalition to End Childhood Lead Poisoning","21224","2012","375,909","Childhood Lead Screening & Asthma Outreach","Grant","1","2012 Jun 30 12:00:00 AM"
"Maryland Energy Administration/MEEHA - Multifamily","Bay Forest Apartments","21403-2548","2012","99,786","Building Retrofits","Grant","1","2012 Jun 30 12:00:00 AM"
"Boards and Commissions - Governor's Office of Crime Control and Prevention","Tahirih Justice Center","21201","2015","38,753.55","Violence Against Women","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Prevention and Health Promotion Administration","Johns Hopkins University","21205","2016","410,520","Medical Genetics, Systems Development, Hematology","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Regional Greenhouse Gases Initiative (RGGI)","Community Assistance Network","21222","2009","76,004","installation of energy conservation materials","Grant","1","2009 Jun 30 12:00:00 AM"
"Boards and Commissions - Governor's Office of Crime Control and Prevention","Baltimore Child Abuse Center, Inc.","21218","2015","11,520","Maryland Victims of Crime","Grant","1","2015 Jun 30 12:00:00 AM"
"Maryland Department of Health/Maryland Health Care Commission","Chesapeake Regional Info Systems for our Patients (CRISP)","21046","2017","198,837","Grant - APCD","Grant","1","2017 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention","Frederick Memorial Healthcare System","21701","2018","20,172.4","Service*Training*Officers*Prosecutors (STOP) Violence Against Women Formula Grant Program","Grant","1","2018 Jun 30 12:00:00 AM"
"Executive Department - Boards, Commissions and Offices/AmeriCorps Formula","Community Mediation Corps","20912","2016","227,826.33","AmeriCorps State Service funding","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Natural Resources/RURAL LEGACY","The Land Preservation Trust","21042","2010","219,088.41","S G Elseroad Farm Easement","Grant","1","2010 Jun 30 12:00:00 AM"
"Rural Maryland Council","ASIAN AMERICAN CTR OF FREDERICK/LIFE & DISCOVERY","21703","2018","63,217","GRANTS TO NON-GOV ENTITIES","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Agriculture/CONSERVATION GRANTS; CONSERVATION GRANTS CAP","MICHAEL S KING SR","21853","2010","56,570.75","COVER CROP, CONSERVATION RESERVE, AG CONSERVATION","Grant","1","2010 Jun 30 12:00:00 AM"
"Maryland Department of Education/FOOD SERVICES PROGRAM","SHORE UP INC","21804","2014","915,729.07","CASH FOR COMMODITIES- CHILD CARE","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Prevention & Health Promotion Administration","Johns Hopkins University","21205","2014","324,206","Tuberculosis Epidemiologic Studies Consortium","Grant","1","2014 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/Office of Business Development","TRI-COUNTY COUNCIL FOR SOUTHERN MARYLAND","20637","2013","106,900","Regional Economic Development Grant","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene/Maryland Community Health Resources Commission","The ARC of Carroll County, Inc.","21158","2013","60,000","DDA Infrastructure Services","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Commerce/MD State Arts Council","NATL ASSEMBLY OF STATE ARTS AGENCIES","20036","2016","50,000","MD State Arts Council Grants for Organizations (Operating support)","Grant","1","2016 Jun 30 12:00:00 AM"
"Department of Aging - State Hold Harmless","Upper Shore Aging, Inc.","21620","2015","66,926","Supplemental Funding for Snr Programs","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of Business and Economic Development/Maryland State Arts Council","JOHNS HOPKINS UNIVERSITY","21210","2011","12,236","Grants to Arts Organizations","Grant","1","2011 Jun 30 12:00:00 AM"
"Department of Health and Mental Hygiene - Maryland Community Health Resources Commission","Community Clinic, Inc.","20910","2015","110,000","Expand access to health care in underserved communities","Grant","1","2015 Jun 30 12:00:00 AM"
"Department of the Environment/Bay Restoration Fund - Septic Systems","Canaan Valley Institute","26260","2009","254,867.92","Septic System Upgrade Program (Statewide)","Grant","1","2009 Jun 30 12:00:00 AM"
"Boards and Commissions/VOCA Victim Assistance Formula Grant Program","Kennedy Krieger Institute","21213","2013","211,381.22","Underserved Victims Support","Grant","1","2013 Jun 30 12:00:00 AM"
"Office of the Secretary","Mary's Center for Maternal & Child Care","20009","2018","72,000","Minority Health & Health Disparities","Grant","1","2018 Jun 30 12:00:00 AM"
"Department of Natural Resources/STATE LAND ACQUISITION","Fisher Law Group","20772","2013","268,500","Mohr - Pocomoke SF Property Acquisition","Grant","1","2013 Jun 30 12:00:00 AM"
"Department of Housing and Community Development/Foreclosure Mediation","Housing Initiative Partnership Inc.","20782","2016","326,836","Foreclosure Mediation","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland Department of Education/Children's Cabinet Interagency Fund","WRAPAROUND MARYLAND INC","21804","2012","255,481","DHR - PLACE MATTERS","Grant","1","2012 Jun 30 12:00:00 AM"
"Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention","Howard County General Hospital","21044","2017","93,912","VOCA Victim Assistance Formula Grant Program","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland Department of Education/FOOD SERVICES PROGRAM","ACTIVE DAY MD INC/ACTIVE DAY INC","19053","2014","509,858.09","CASH FOR COMMODITIES- CHILD CARE","Grant","1","2014 Jun 30 12:00:00 AM"
"Department of Agriculture/COVER CROP","TEMPLE C RHODES SR","21617","2014","90,766","Cover Crop Program Grant","Grant","1","2014 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/MD Economic Development Assistance Authority & Fund-MEDAAF -","BIZERBA LABEL SOLUTIONS INC","21085","2012","500,000","MD Economic Development Assistance Authority & Fund","Loan","1","2012 Jun 30 12:00:00 AM"
"Maryland Transit Administration/SECTION 5309 CAPITAL/NEW FREEDOM","CENTRAL MD REGIONAL TRANS","20707-4859","2017","721,107","FY 2016 ACCRUALS","Grant","1","2017 Jun 30 12:00:00 AM"
"Maryland State Department of Education/STATE AIDED EDUCATIONAL INSTITUTIONS","BALTIMORE MUSEUM OF INDUSTRY INC","21230","2017","80,214","State Aided Institutions","Grant","1","2017 Jun 30 12:00:00 AM"
"Judiciary - Mediation and Conflict Resolution Office","Community Conferencing Center","21218","2015","143,335","Grant to provide general support for the Center to continue providing 1) community conferencing services in Baltimore City; 2) training and technical assistance in community conferencing to jurisdictions across Maryland; and 3) ongoing activities of the statewide network.","Grant","1","2015 Jun 30 12:00:00 AM"
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","Baltimore Child Abuse Center, Inc.","21218","2016","36,130.1","Violence Against Women Act","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland Technology Development Corporation/Maryland Technology Transfer & Commercialization Fund","SurveySnap Inc.","21045","2014","100,000","Commercialization Investment","Loan","1","2014 Jun 30 12:00:00 AM"
"Commerce/MD State Arts Council","HOWARD COUNTY CENTER FOR THE ARTS","21043","2017","98,589","MD State Arts Council Community Arts Development Grant","Grant","1","2017 Jun 30 12:00:00 AM"
"State Department of Education/Division of Rehabilitation Services - Client Services","BALTIMORE CITY FOUNDATIONS YOUTHWORKS '96","21218","2016","112,500","Rehabilitation Services - Vocational Rehabilitation Grants to States","Grant","1","2016 Jun 30 12:00:00 AM"
"Maryland Department of Education/INNOVATE PROGRAMS","BALTIMORE MEDICAL SYSTEM INC","21213","2013","45,101","OTHER STATE AID","Grant","1","2013 Jun 30 12:00:00 AM"
"Department Of Business and Economic Development/Maryland State Arts Council","ROUND HOUSE THEATRE INC","20824","2014","222,085","MD State Arts Council Grants for Organizations (Operating support)","Grant","1","2014 Jun 30 12:00:00 AM"
"Judiciary/Mediation & Conflict Resolution Office","Community Mediation Maryland","20912","2017","260,000","Funding to support the work of providing training, technical assistance, evaluation, resource development, marketing, and partnership development for new and existing community mediation programs in Maryland.","Grant","1","2017 Jun 30 12:00:00 AM"
